Y,M,D,SR_MJ
2001,5,3,22.62650298
2001,5,4,21.70349166
2001,5,5,21.41676214
2001,5,6,22.54241713
2001,5,7,22.57753344
2001,5,8,17.62838862
2001,5,9,14.61482915
2001,5,10,22.25568761
2001,5,11,22.24924425
2001,5,12,18.73857955
2001,5,13,13.7163026
2001,5,14,10.51105317
2001,5,15,7.677907776
2001,5,16,21.66450933
2001,5,17,19.26983458
2001,5,18,22.13745195
2001,5,19,18.87775613
2001,5,20,23.06078544
2001,5,21,23.09719042
2001,5,22,23.33366174
2001,5,23,23.12167519
2001,5,24,22.84299987
2001,5,25,20.80528727
2001,5,26,14.18280186
2001,5,27,23.12554121
2001,5,28,21.46122132
2001,5,29,22.2376462
2001,5,30,22.9554365
2001,5,31,23.58495278
2001,6,1,20.07976494
2001,6,2,22.42547014
2001,6,3,13.90992557
2001,6,4,22.2769507
2001,6,5,12.12608135
2001,6,6,20.47313206
2001,6,7,23.54629262
2001,6,8,24.02696727
2001,6,9,22.72701939
2001,6,10,23.47573782
2001,6,11,13.39026858
2001,6,12,20.22957306
2001,6,13,21.16611543
2001,6,14,23.56691137
2001,6,15,24.28180216
2001,6,16,23.38456428
2001,6,17,21.51115736
2001,6,18,22.40807307
2001,6,19,23.69513423
2001,6,20,23.40292786
2001,6,21,23.62361294
2001,6,22,23.12393037
2001,6,23,19.38066038
2001,6,24,20.11165957
2001,6,25,15.75562604
2001,6,26,23.19384082
2001,6,27,7.594788432
2001,6,28,23.43997718
2001,6,29,23.46027376
2001,6,30,17.93541473
2001,7,1,21.9164447
2001,7,2,23.78373043
2001,7,3,22.36200305
2001,7,4,20.34877522
2001,7,5,19.67351109
2001,7,6,23.11813134
2001,7,7,6.197223648
2001,7,8,21.88165056
2001,7,9,19.28658732
2001,7,10,22.21767178
2001,7,11,17.66511578
2001,7,12,18.36132082
2001,7,13,18.1309707
2001,7,14,19.16706299
2001,7,15,18.93735721
2001,7,16,13.08388682
2001,7,17,18.18090674
